vmID,Read_Iops,Write_Iops,Read_Latency,Write_Latency,Memory,CPU_Cores,Location,B&R_Location,Cloud_%,OnPrem_%,Reliability_%,Cost_$,Policy_Num
VM-1,31,37,257,215,1024,15,Rhode Island,Idaho,41,59,68,11605,1
VM-4,21,9,293,271,3072,2,South Carolina,Washington,17,83,69,15384,1
VM-5,29,15,217,214,1024,13,New Jersey,Utah,91,9,54,13131,1
VM-1,43,36,267,271,1024,10,Louisiana,Iowa,16,84,70,17711,1
VM-9,19,40,208,281,2048,2,Nevada,West Virginia,77,23,50,19176,1
VM-8,18,4,280,293,3072,12,Virginia,Utah,66,34,55,13865,1
VM-6,19,49,269,291,3072,9,Kentucky,Idaho,6,94,50,13737,1
VM-8,39,13,252,295,2048,2,North Dakota,New Mexico,40,60,62,10104,1
VM-10,22,42,272,224,1024,1,Mississippi,North Carolina,53,47,58,14717,1
VM-10,14,2,294,201,1024,5,Arizona,Delaware,63,37,64,18980,1
VM-6,36,31,239,200,1024,14,Georgia,Missouri,73,27,53,19743,1
VM-3,26,49,223,269,1024,12,Wisconsin,California,54,46,67,18889,1
VM-5,33,43,235,243,1024,14,Wyoming,Virginia,11,89,67,16657,1
VM-3,10,11,264,265,1024,12,Pennsylvania,Kansas,94,6,57,19973,1
VM-7,6,21,213,239,3072,1,Massachusetts,Virginia,46,54,61,16618,1
VM-10,48,3,256,255,3072,12,Rhode Island,New Jersey,75,25,66,14333,1
VM-8,28,48,281,285,2048,7,South Dakota,California,92,8,55,13866,1
VM-5,23,28,282,278,3072,10,Idaho,Ohio,66,34,55,19828,1
VM-6,21,15,265,294,2048,6,Virginia,Maryland,91,9,66,13559,1
VM-5,33,37,251,270,1024,13,Idaho,Colorado,74,26,53,19198,1
VM-9,22,17,276,236,3072,1,South Dakota,North Dakota,80,20,59,14329,1
VM-10,5,39,234,208,2048,2,Alabama,Montana,71,29,63,10865,1
VM-2,25,27,245,298,3072,5,Tennessee,Illinois,45,55,66,12077,1
VM-3,31,2,286,208,2048,14,Montana,Vermont,8,92,58,14725,1
VM-7,25,32,286,252,3072,10,Wyoming,Idaho,17,83,63,15648,1
VM-1,18,49,223,241,3072,4,New York,Virginia,50,50,70,16503,1
VM-10,5,13,263,266,2048,15,Kentucky,Arkansas,8,92,67,17366,1
VM-8,33,7,270,277,2048,15,Tennessee,Virginia,30,70,63,19006,1
VM-1,5,43,240,201,2048,3,New Hampshire,Minnesota,66,34,68,14240,1
VM-5,14,39,225,226,3072,12,Maine,Idaho,42,58,66,14713,1
VM-3,32,16,208,230,1024,4,Montana,New York,49,51,55,19285,1
VM-7,39,13,260,231,1024,2,California,Ohio,1,99,55,18287,1
VM-1,3,10,284,246,3072,5,Missouri,Nevada,61,39,62,18848,1
VM-4,32,42,276,228,3072,13,Oregon,Maryland,88,12,56,14471,1
VM-1,7,37,263,230,1024,5,Colorado,Pennsylvania,27,73,56,17032,1
VM-10,5,32,208,289,1024,7,South Dakota,Connecticut,98,2,63,12559,1
VM-5,26,48,253,300,1024,11,Arkansas,Alaska,1,99,67,17096,1
VM-2,43,20,267,239,1024,7,Iowa,Washington,70,30,57,18500,1
VM-5,17,33,234,217,1024,8,Kansas,Illinois,48,52,52,10254,1
VM-4,28,21,226,298,1024,2,Pennsylvania,California,77,23,56,18473,1
VM-3,7,11,253,290,2048,10,Delaware,Georgia,92,8,53,18773,1
VM-3,13,4,226,250,2048,10,New Jersey,Minnesota,36,64,62,18061,1
VM-4,41,9,212,252,1024,10,Tennessee,Wisconsin,67,33,57,13556,1
VM-8,19,45,235,233,2048,8,Wisconsin,Nevada,3,97,62,12710,1
VM-9,24,21,255,299,3072,4,Nebraska,Oklahoma,56,44,58,19044,1
VM-5,12,18,278,270,2048,6,Alaska,Rhode Island,58,42,50,12038,1
VM-10,38,42,216,279,3072,7,Mississippi,Maine,70,30,59,11867,1
VM-2,10,3,229,243,3072,10,Mississippi,Florida,31,69,58,19837,1
VM-1,9,46,273,258,3072,9,Montana,Alabama,56,44,70,16978,1
VM-6,12,26,221,275,1024,15,Hawaii,Minnesota,98,2,64,14085,1
VM-9,37,7,229,274,1024,13,Indiana,North Dakota,86,14,51,15014,1
VM-5,41,46,287,244,1024,12,North Dakota,Hawaii,86,14,70,10068,1
VM-7,11,11,263,280,1024,4,Washington,Florida,47,53,55,17766,1
VM-6,17,46,203,212,2048,9,Michigan,Idaho,91,9,68,10629,1
VM-3,1,44,289,256,2048,2,Tennessee,Ohio,10,90,64,13513,1
VM-10,22,47,230,265,2048,3,Maryland,Massachusetts,91,9,61,14354,1
VM-10,49,19,259,252,1024,1,Florida,Washington,85,15,52,19623,1
VM-2,35,13,298,212,2048,1,Texas,New Jersey,79,21,54,19231,1
VM-2,41,19,285,296,2048,12,New Hampshire,Wyoming,94,6,69,16507,1
VM-1,21,28,262,288,2048,9,Montana,Oklahoma,19,81,68,15329,1
VM-2,42,29,210,253,2048,11,Delaware,Arkansas,89,11,53,17269,1
VM-7,12,35,202,299,2048,3,Nevada,Arkansas,78,22,70,15840,1
VM-8,44,3,208,212,2048,3,Rhode Island,Florida,11,89,60,18207,1
VM-7,19,26,274,298,2048,4,Texas,Alabama,46,54,55,10784,1
VM-7,12,7,251,234,2048,8,Nevada,Illinois,85,15,57,10311,1
VM-2,13,40,249,266,3072,14,South Dakota,Vermont,25,75,50,13664,1
VM-2,20,19,296,269,3072,3,Oklahoma,Alabama,16,84,64,19834,1
VM-2,27,44,253,262,3072,14,Alaska,Idaho,50,50,62,16708,1
VM-10,10,14,297,248,3072,5,West Virginia,Nebraska,69,31,55,19121,1
VM-2,15,31,283,273,3072,9,Kentucky,North Dakota,86,14,68,19904,1
VM-9,39,3,268,223,2048,12,Indiana,South Carolina,55,45,65,10425,1
VM-3,49,16,242,206,1024,2,West Virginia,Illinois,95,5,68,13164,1
VM-6,12,15,221,247,3072,4,Wyoming,California,78,22,52,15692,1
VM-9,23,16,268,229,3072,12,Maine,Florida,97,3,60,16591,1
VM-1,30,26,220,235,3072,13,New Mexico,New Mexico,39,61,53,10627,1
VM-9,10,18,287,275,1024,2,Colorado,Mississippi,81,19,64,13565,1
VM-10,26,43,240,235,3072,1,Colorado,Rhode Island,38,62,66,16774,1
VM-5,45,23,294,286,1024,10,South Carolina,Washington,49,51,69,12792,1
VM-2,21,48,206,292,1024,7,North Dakota,Illinois,66,34,70,19303,1
VM-1,13,41,276,222,2048,9,Indiana,California,62,38,66,11077,1
VM-4,19,4,234,270,3072,4,Washington,Oregon,84,16,62,10573,1
VM-5,16,43,230,215,1024,8,Pennsylvania,Utah,95,5,67,15135,1
VM-3,42,7,286,290,3072,6,Rhode Island,Hawaii,78,22,56,17254,1
